,name,salary,type,address,url,schedule,work_format,experience
0,Аналитик данных / Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130251337?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
1,Finance Controller,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130201214?host=hh.ru,Полный день,No Info,От 3 до 6 лет
2,Начинающий специалист / Data Analyst / Data Scientist,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129673886?host=hh.ru,Полный день,Гибрид,Нет опыта
3,Middle Python Developer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130143991?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
4,Старший финансовый контролер (Заместитель финансового директора),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130141414?host=hh.ru,Полный день,Гибрид,Более 6 лет
5,Junior / Middle Data Analyst (Steam & PC Games),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130220937?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
6,Data Scientist,from 90000 to 115000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130080897?host=hh.ru,Полный день,На месте работодателя,Нет опыта
7,Backend-разработчик (.NET),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130247635?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
8,HRBP в IT,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130097120?host=hh.ru,Полный день,No Info,От 3 до 6 лет
9,Системный аналитик,from 220000 to 350000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129601802?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
10,Data Developer/ Дата разработчик (junior),from None to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129637770?host=hh.ru,Удаленная работа,Удалённо,Нет опыта
11,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130165156?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
12,Аналитик данных,from 70000 to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/128527730?host=hh.ru,Полный день,На месте работодателя,Нет опыта
13,Java-разработчик Junior,from 70000 to 120000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130251217?host=hh.ru,Удаленная работа,На месте работодателя,Нет опыта
14,Младший аналитик данных,from 80000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129602300?host=hh.ru,Удаленная работа,Удалённо,Нет опыта
15,Креативный стажер в Арт-дирекшн,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129747847?host=hh.ru,Полный день,Гибрид,Нет опыта
16,Системный аналитик (Middle+),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130210765?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
17,Персональный ассистент руководителя,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130174877?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
18,Full Stack Data Engineer (Data Engineer + Data Analyst),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129525881?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
19,Директор по маркетингу,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130172508?host=hh.ru,Полный день,No Info,От 3 до 6 лет
20,Директор по маркетингу (CMO),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129269808?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
21,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129963521?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
22,Senior Frontend Developer (React / Next.js),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130113931?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
23,Middle backend developer / Python специалист,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130138227?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
24,Data-analyst (junior),from None to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129758012?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
25,Аналитик данных (Product & Business Intelligence),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130171987?host=hh.ru,Удаленная работа,На месте работодателя,От 1 года до 3 лет
26,BI-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129810121?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
27,Senior Golang Developer (Recommendations Team),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130141230?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
28,Data аналитик,from 90000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130097394?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
29,Руководитель по цифровизации промышленности (международный бизнес),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130099473?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
30,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129915032?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
31,Дата аналитик (Data Analyst),from 200000 to 200000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130114295?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
32,Data Analyst + BI,from 150000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130085512?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
33,Стажер Data Analyst (СберНадежность),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130206329?host=hh.ru,Полный день,На месте работодателя,Нет опыта
34,Младший бизнес - аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129284274?host=hh.ru,Удаленная работа,Удалённо,Нет опыта
35,Контент-менеджер,from None to 150000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129988235?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
36,Junior Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130058921?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
37,Data Analyst / Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130210183?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
38,Data Scientist (Junior),from None to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129426267?host=hh.ru,Полный день,Гибрид,Нет опыта
39,Lead of HR Team,from 200000 to 250000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129980198?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
40,Java-разработчик,from None to 287400 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130233954?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
41,Java-разработчик Middle,from None to 200000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130122895?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
42,C#/.NET-разработчик middle,from 130000 to 210000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130127018?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
43,IT Recruiter / Talent Acquisition Specialist/HR/Менеджер по подбору персонала,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130205898?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
44,Стажер-аналитик BI,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130049177?host=hh.ru,Полный день,No Info,Нет опыта
45,Аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130095367?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
46,CMO / Директор по маркетингу,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130134224?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
47,Head of Digital Marketing / Руководитель отдела цифрового маркетинга,from 350000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130168113?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
48,Системный аналитик,from None to 200000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129637647?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
49,Руководитель отдела гибридного маркетинга,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130039768?host=hh.ru,Полный день,No Info,От 3 до 6 лет
50,Риск-аналитик в VK,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130181185?host=hh.ru,Полный день,На месте работодателя,Нет опыта
51,People Ops Manager / HRBP (Build & Scale Teams),from 1000 to 5000 in USD,Открытая,No Info,https://api.hh.ru/vacancies/130257752?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
52,Аналитик по наблюдаемости и контролю данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130129726?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
53,Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130156696?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
54,Head of Product Operations,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130244475?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
55,Специалист по оптимизации логистических процессов,from 140000 to 155000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129481531?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
56,Руководитель направления маркетинг / Head of Marketing AWX,from 300000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130060689?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
57,Senior Backend Engineer / Старший бэкэнд разработчик,from 5000 to 12000 in USD,Открытая,No Info,https://api.hh.ru/vacancies/129599453?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
58,Менеджер продукта в команду Моя недвижимость,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129588504?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
59,Старший Java/Kotlin разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130194316?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
60,Java-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130040515?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
61,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130121296?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
62,Junior Data Analyst / Младший Дата-аналитик,from 80000 to 120000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129787914?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
63,Категорийный менеджер,from 345000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129918608?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
64,"Руководитель отдела маркетинга и рекламы в международную компанию (РФ, ОАЭ)",from 200000 to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130082375?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
65,"Backend-разработчик (Senior, Lead Python)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130021932?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
66,BI инженер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129297286?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
67,Python-разработчик,from None to 320000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130050272?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
68,Product Marketing Manager,No Info,Открытая,No Info,https://api.hh.ru/vacancies/125391096?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
69,Аналитик IBP,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130157227?host=hh.ru,Удаленная работа,Удалённо,Нет опыта
70,Python Q&A Engineer,from None to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130046675?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
71,Продуктовый аналитик (Senior/Lead),from 200000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129427827?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
72,Data analyst / Аналитик данных (ученик),from 90000 to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129807241?host=hh.ru,Удаленная работа,Удалённо,Нет опыта
73,Системный аналитик (ИИ),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130143419?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
74,Chief Product Officer (CPO),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130161615?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
75,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130203507?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
76,Стажер Python / Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130141513?host=hh.ru,Удаленная работа,Удалённо,Нет опыта
77,BI-аналитик / Специалист по отчетам,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130214592?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
78,Ассистент аналитика данных на маркетплейсах | e-commerce,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130182362?host=hh.ru,Удаленная работа,На месте работодателя,От 1 года до 3 лет
79,Backend-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129428654?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
80,Data Scientist / Дата-сайентист,from 270000 to 290000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130159628?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
81,Директор по персоналу (HRD),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130045002?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
82,Influence Manager / Менеджер по работе с блогерами,from 35000 to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130254368?host=hh.ru,Удаленная работа,Удалённо,Нет опыта
83,Product Manager (Core Funnel / Conversion),from 500000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130159692?host=hh.ru,Полный день,No Info,От 3 до 6 лет
84,Главный аналитик по управлению проектными рисками,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130216715?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
85,Системный аналитик (бизнес аналитик),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130234497?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
86,Senior Product Manager,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130247368?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
87,Руководитель направления развития и аналитики (Business Development & Data Analysis Director),from 600000 to 650000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130036364?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
88,Senior Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130200497?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
89,Digital маркетолог,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130255739?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
90,Аналитик данных (Support),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129746806?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
91,Project Manager (FinTech) / Руководитель проектов в финтех-сфере,from 470000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129812021?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
92,Бизнес-ассистент / Founder’s Associate (EdTech),from 150000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130159945?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
93,Продуктовый аналитик (Sber.DS),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130240118?host=hh.ru,Полный день,На месте работодателя,Нет опыта
94,Data Scientist,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129482452?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
95,Java разработчик,from None to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129751672?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
96,Старший финансовый аналитик / Senior Finance analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130103267?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
97,Специалист по товародвижению (оператор 1С),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130198700?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
98,Chief Technology Officer (CTO / СТО),from 500000 to 650000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129284953?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
99,"Системный аналитик Middle+ (миграция Hadoop, банк)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130119681?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
100,AI-инженер,from None to 320000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129763603?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
101,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129416003?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
102,Младший маркетолог / Junior интернет-маркетолог / Junior digital-маркетолог,from 50000 to 90000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/128372338?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
103,Аналитик информационной безопасности,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130082457?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
104,Директор по маркетингу,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129757148?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
105,Data Analyst (Middle+ / Senior),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129677588?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
106,Tech Lead / Technical Lead (FinTech),from 500000 to 520000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129718735?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
107,Руководитель направления E-commerce,from 200000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129861345?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
108,Менеджер проектов,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130251656?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
109,BI-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128439638?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
110,Системный аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129865864?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
111,Графический дизайнер в продуктовый стартап,from 65000 to 95000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130243016?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
112,Junior Data Analyst (mobile games),No Info,Открытая,No Info,https://api.hh.ru/vacancies/120863837?host=hh.ru,Полный день,No Info,Нет опыта
113,Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130143816?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
114,Team lead команды Лаборатории данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130251403?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
115,Системный аналитик,from 230000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129526594?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
116,Frontend-разработчик React/Next.js (middle++),from 160000 to 170000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129315604?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
117,Senior Marketing Manager (B2B SaaS),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130221310?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
118,Руководитель контент-маркетинга (Head of Content & Growth),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130080582?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
119,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130126374?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
120,Data Scientist / ML Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/121370571?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
121,Аналитик данных (Ценообразование),from None to 400000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129640391?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
122,Delivery Lead,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130251207?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
123,Frontend-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128966075?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
124,Бизнес-аналитик (складская и транспортная логистика),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130164018?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
125,Java-developer Middle/Middle+,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129961594?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
126,Системный аналитик ML,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130208713?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
127,ML-инженер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130240754?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
128,Маркетолог Аналитик,from 150000 to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129531302?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
129,Менеджер продукта на основе искусственного интеллекта,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130047337?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
130,Data Enginee (Bi аналитик),from 200000 to 250000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/128784320?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
131,Системный аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129588789?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
132,HR-координатор,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129975584?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
133,Младший менеджер проектов,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128858791?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
134,"Product Owner (Crypto), Product Manager",from 250000 to 400000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129490554?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
135,Аналитик-разработчик (Дашборды и BI-решения),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129744402?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
136,Финансовый аналитик / Data Analyst,No Info,Анонимная,No Info,https://api.hh.ru/vacancies/129876491?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
